feature,mean_abs_shap
days_since_last_rech_8,0.62640435
voice_active_8,0.5471787
last_day_rch_amt_8,0.5430406
roam_og_mou_8,0.36379525
loc_ic_mou_8,0.27670544
aon,0.21660158
spl_ic_mou_8,0.17624432
loc_ic_t2m_mou_8,0.13522074
roam_ic_mou_8,0.12920074
voice_activity_8,0.12000133
arpu_8,0.10742241
total_rech_num_7,0.10738476
arpu_7,0.10651899
max_rech_data_8,0.07813099
av_rech_amt_data_8,0.0742351
ic_others_8,0.07058731
loc_og_t2f_mou_6,0.06712224
total_rech_num_8,0.06398953
spl_og_mou_7,0.06276817
total_ic_mou_8,0.0607215
loc_og_t2t_mou_8,0.06066084
std_ic_mou_8,0.05983136
max_rech_amt_8,0.05869991
onnet_mou_8,0.05820415
loc_ic_t2t_mou_8,0.05749421
total_rech_num_6,0.056038756
loc_og_mou_8,0.05310348
voice_activity_7,0.05250968
total_ic_mou_7,0.051448137
days_since_last_data_rech_8,0.050562903
loc_ic_t2f_mou_8,0.05007403
total_ic_mou_6,0.049386602
std_og_mou_7,0.04875868
std_ic_t2f_mou_8,0.04806605
isd_ic_mou_8,0.04560115
std_ic_mou_7,0.04379956
loc_ic_mou_6,0.042689767
total_og_mou_8,0.041969962
max_rech_amt_7,0.03946175
roam_og_mou_7,0.03863839
arpu_6,0.035905737
loc_ic_t2f_mou_6,0.03547935
total_rech_amt_6,0.03497478
loc_ic_mou_7,0.034403868
loc_ic_t2t_mou_6,0.03311419
spl_og_mou_8,0.031556677
offnet_mou_6,0.029245725
days_since_last_rech_6,0.028498016
total_rech_amt_8,0.026349796
days_since_last_rech_7,0.025433585
loc_ic_t2m_mou_6,0.025404086
voice_activity_6,0.025301585
std_ic_t2f_mou_6,0.025248261
loc_ic_t2f_mou_7,0.025014913
std_og_mou_8,0.024491949
onnet_mou_7,0.023438577
loc_og_t2c_mou_8,0.022983681
std_og_t2m_mou_7,0.022293769
loc_ic_t2m_mou_7,0.021403713
isd_og_mou_8,0.0209786
loc_og_t2m_mou_8,0.020232892
loc_og_mou_6,0.019853624
loc_og_t2m_mou_6,0.019660903
std_ic_t2t_mou_7,0.019480702
loc_ic_t2t_mou_7,0.018417953
last_day_rch_amt_7,0.018368527
std_ic_t2m_mou_8,0.017306114
roam_ic_mou_7,0.015668327
std_ic_mou_6,0.015299004
total_rech_amt_7,0.015020169
vol_3g_mb_8,0.014959438
total_og_mou_7,0.014840423
std_og_mou_6,0.014380814
arpu_2g_6,0.0143190855
onnet_mou_6,0.013892028
loc_og_t2f_mou_8,0.013180893
spl_og_mou_6,0.01300028
loc_og_t2t_mou_6,0.012864955
arpu_3g_7,0.012316845
std_og_t2f_mou_8,0.012203485
std_ic_t2t_mou_8,0.012017214
loc_og_mou_7,0.011930146
loc_og_t2f_mou_7,0.011734417
total_og_mou_6,0.011630365
offnet_mou_7,0.011610578
ic_others_6,0.01031866
std_og_t2t_mou_8,0.010093311
loc_og_t2m_mou_7,0.010045412
std_ic_t2t_mou_6,0.009881044
std_og_t2f_mou_6,0.009731048
isd_ic_mou_6,0.009604182
loc_og_t2t_mou_7,0.009545337
std_ic_t2m_mou_7,0.008758396
count_rech_3g_7,0.008179624
arpu_3g_8,0.008087717
std_ic_t2f_mou_7,0.007878922
max_rech_amt_6,0.0076705366
vol_2g_mb_8,0.0069505004
std_og_t2t_mou_7,0.006935489
offnet_mou_8,0.006820266
isd_og_mou_7,0.006802623
std_ic_t2m_mou_6,0.0067065842
std_og_t2m_mou_8,0.0064574517
std_og_t2m_mou_6,0.006442913
roam_ic_mou_6,0.006402943
last_day_rch_amt_6,0.0062607806
arpu_2g_7,0.0062360084
spl_ic_mou_7,0.0061679604
vol_2g_mb_7,0.0061109806
isd_ic_mou_7,0.0060579777
vol_3g_mb_6,0.006042184
spl_ic_mou_6,0.005263448
roam_og_mou_6,0.005117805
ic_others_7,0.0049803574
arpu_3g_6,0.0046084938
std_og_t2t_mou_6,0.004237208
vol_2g_mb_6,0.0040444215
isd_og_mou_6,0.00400578
std_og_t2f_mou_7,0.003970559
loc_og_t2c_mou_6,0.0039659706
og_others_6,0.0037700902
loc_og_t2c_mou_7,0.0034883483
max_rech_data_7,0.00346222
arpu_2g_8,0.0033548668
av_rech_amt_data_6,0.0032756776
count_rech_2g_8,0.0030612154
max_rech_data_6,0.0030430434
days_since_last_data_rech_7,0.0029299692
days_since_last_data_rech_6,0.0025950517
av_rech_amt_data_7,0.002582209
vol_3g_mb_7,0.0022276465
total_rech_data_8,0.0019075566
count_rech_2g_7,0.0015753906
total_rech_data_6,0.0012552749
count_rech_2g_6,0.0012146299
sachet_2g_7,0.000980452
sachet_3g_6,0.00090295513
total_rech_data_7,0.00088121014
sachet_3g_7,0.0008222337
monthly_2g_7,0.00070523395
monthly_2g_8,0.0006883052
sachet_2g_6,0.0006704795
sachet_2g_8,0.00061096903
og_others_8,0.0005448965
monthly_3g_7,0.0005435121
count_rech_3g_6,0.00047854165
sachet_3g_8,0.00038592023
monthly_3g_8,0.00036365117
